Mailing City,Mailing State/Province,Mailing Country,Reporting Term,Program SeleConnecticution: Program SeleConnecticution Name,Admissions Status,Status
Freehold,New Jersey,United States of America,Spring 2025,Criminal Justice (MA),Admit-Coming,A/C
Summit,New Jersey,United States of America,Spring 2025,Liberal Studies - Online (MA),Started App,Did Not A/C
Clementon,New Jersey,United States of America,Spring 2025,Psychology - Accelerated Degree BA/MA (MA),Started App,Did Not A/C
BALA CYNWYD,PA,United States of America,Spring 2025,Business and Science - Computer and Information Sciences (MBS) Camden,Complete App,Did Not A/C
Jersey City,New Jersey,United States of America,Spring 2025,Data Science (MS),Submitted App,Did Not A/C
Pennsauken,New Jersey,United States of America,Spring 2025,Emerging Media (MA),Admit-Coming,A/C
Indianapolis,Indiana,United States of America,Spring 2025,Biology (MS),Admit-Coming,A/C
Medford,New Jersey,United States of America,Spring 2025,Teacher Education (MAT),Admit-Coming,A/C
Haddon Township,New Jersey,United States of America,Spring 2025,Public Administration - On Campus (MPA),Started App,Did Not A/C
Delanco,New Jersey,United States of America,Spring 2025,Teacher Education (MAT),Admit-Coming,A/C
Newtown,PA,United States of America,Spring 2025,Mathematical Sciences (NOD),Submitted App,Did Not A/C
Hamilton,New Jersey,United States of America,Spring 2025,Biology (NOD),Submitted App,Did Not A/C
Willingboro,New Jersey,United States of America,Spring 2025,Teacher Education - Spanish (MAT),Admit,Did Not A/C
Hammonton,New Jersey,United States of America,Spring 2025,Criminal Justice (MA),Started App,Did Not A/C
Pennsauken,New Jersey,United States of America,Spring 2025,Public Administration - On Campus (MPA),Submitted App,Did Not A/C
Galloway,New Jersey,United States of America,Spring 2025,Public Administration - On Campus (NOD),Submitted App,Did Not A/C
Audubon,New Jersey,United States of America,Spring 2025,Liberal Studies - Online (MA),Admit,Did Not A/C
Merchantville,New Jersey,United States of America,Spring 2025,Teacher Education (MAT),Admit-Coming,A/C
Summit,New Jersey,United States of America,Spring 2025,Public Administration - On Campus (MPA),Complete App,Did Not A/C
Mantua,New Jersey,United States of America,Spring 2025,"Teacher Ed - Teacher of Students with Disabilities, P-12 Certificate (NOD)",Admit-Coming,A/C
Fair Haven,New Jersey,United States of America,Spring 2025,Childhood Studies (MA),Started App,Did Not A/C
Somerset,New Jersey,United States of America,Spring 2025,Computer Science: Scientific Computing (MS),Complete App,Did Not A/C
Newark,New Jersey,United States of America,Spring 2025,Liberal Studies - Online (NOD),Started App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Spring 2025,Forensic Science (MS),Started App,Did Not A/C
Somerset,New Jersey,United States of America,Spring 2025,Data Science (MS),Denied,Did Not A/C
Camden,New Jersey,United States of America,Spring 2025,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Philadelphia,PA,United States of America,Spring 2025,English (MA),Started App,Did Not A/C
Pennington,New Jersey,United States of America,Spring 2025,Liberal Studies - Online (MA),Admit-Coming,A/C
Woodbridge,New Jersey,United States of America,Spring 2025,Business and Science - Computer and Information Sciences (MBS) Camden,Started App,Did Not A/C
Streeter,ND,United States of America,Spring 2025,Liberal Studies - Online (MA),Admit-Coming,A/C
San Antonio,TX,United States of America,Spring 2025,Chemistry (NOD),Submitted App,Did Not A/C
Rockville Centre,NY,United States of America,Spring 2025,Childhood Studies (MA),Started App,Did Not A/C
Camden,New Jersey,United States of America,Spring 2025,Public Administration - On Campus (MPA),Started App,Did Not A/C
Blackwood,New Jersey,United States of America,Spring 2025,Teacher Education (MAT),Admit,Did Not A/C
Philadelphia,PA,United States of America,Spring 2025,Chemistry and Molecular Technology (MS),Started App,Did Not A/C
Cherry Hill,New Jersey,United States of America,Spring 2025,Criminal Justice - Dual MA/MPA Criminal Justice and Public Administration (MA),Submitted App,Did Not A/C
Philadelphia,PA,United States of America,Spring 2025,English (MA),Started App,Did Not A/C
Colorado Springs,CO,United States of America,Spring 2025,Liberal Studies - Online (NOD),Admit-Coming,A/C
Marlton,New Jersey,United States of America,Spring 2025,Liberal Studies (MA),Admit,Did Not A/C
New York,NY,United States of America,Spring 2025,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
Hillsborough,New Jersey,United States of America,Spring 2025,Criminal Justice (MA),Admit,Did Not A/C
Valley Cottage,NY,United States of America,Spring 2025,Data Science (MS),Started App,Did Not A/C
Camden,New Jersey,United States of America,Spring 2025,Public Administration - On Campus (MPA),Admit-Coming,A/C
Jersey City,New Jersey,United States of America,Spring 2025,Liberal Studies - Online (MA),Complete App,Did Not A/C
Freehold,New Jersey,United States of America,Spring 2025,Criminal Justice (MA),Started App,Did Not A/C
Lacey,WA,United States of America,Spring 2025,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Camden,New Jersey,United States of America,Spring 2025,Public Administration - On Campus (MPA),Submitted App,Did Not A/C
Metuchen,New Jersey,United States of America,Spring 2025,Liberal Studies (NOD),Complete App,Did Not A/C
Mount Pleasant,SC,United States of America,Spring 2025,Liberal Studies - Online (NOD),Submitted App,Did Not A/C
Spring Hill,FL,United States of America,Spring 2025,Liberal Studies - Online (MA),Started App,Did Not A/C
Kirkwood,New Jersey,United States of America,Fall 2023,English (MA),Denied,Did Not A/C
Irvington,New Jersey,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Vineland,New Jersey,United States,Fall 2022,English (MA),Started App,Did Not A/C
Oaklyn,New Jersey,United States,Fall 2022,Public Affairs/Community Development (PHD),Started App,Did Not A/C
Pennsauken,New Jersey,United States of America,Summer 2022,Teacher Education (MAT),Admit-Not Coming,Did Not A/C
Sicklerville,New Jersey,United States of America,Fall 2022,Public Affairs/Community Development (PHD),Withdrawn,Did Not A/C
Shamong,New Jersey,United States,Fall 2022,Chemistry (NOD),Withdrawn,Did Not A/C
Pennsauken,New Jersey,United States,Fall 2022,Mathematical Sciences (MS),Admit-Coming,A/C
Morgantown,West Virginia,United States,Spring 2022,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Columbus,New Jersey,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Philadelphia,Pennsylvania,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Hamilton,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Port Murray,New Jersey,United States,Spring 2022,Forensic Science (MS),Denied,Did Not A/C
Atco,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Bellmawr,New Jersey,United States,Summer 2022,Teacher Education (MAT),Admit-Not Coming,Did Not A/C
Sewell,New Jersey,United States,Fall 2022,Public Affairs/Community Development (PHD),Started App,Did Not A/C
Leonia,New Jersey,United States of America,Spring 2022,Public Administration - On Campus (NOD),Withdrawn,Did Not A/C
Camden,New Jersey,United States,Fall 2022,Public Administration - On Campus (MPA),Withdrawn,Did Not A/C
Westampton,New Jersey,United States,Spring 2022,Forensic Science (MS),Denied,Did Not A/C
Edison,New Jersey,United States,Fall 2022,Childhood Studies (MA),Started App,Did Not A/C
Exton,Pennsylvania,United States,Spring 2022,Teacher Education (MAT),Started App,Did Not A/C
Worcester,MA,United States,Spring 2022,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Hammonton,New Jersey,United States,Spring 2022,Teacher Education (MAT),Started App,Did Not A/C
Pennsauken,New Jersey,United States,Spring 2022,Criminal Justice (NOD),Started App,Did Not A/C
Maple Shade,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
New Brunswick,New Jersey,United States,Fall 2022,Creative Writing (MFA) Camden,Admit-Coming,A/C
Arlington,Texas,United States,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Not Coming,Did Not A/C
Morehead,KY,United States,Fall 2022,Teacher Education (MAT),Started App,Did Not A/C
Portland,Oregon,United States,Fall 2022,Childhood Studies (MA),Admit-Withdrawn,Did Not A/C
Brooklyn,New York,United States of America,Fall 2022,Childhood Studies (PHD),Deferred to Fall,Did Not A/C
Bloomfield,New Jersey,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Madison,ConneConnecticuticut,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Ocean Grove,New Jersey,United States of America,Summer 2023,Liberal Studies - Online (MA),Admit-Coming,A/C
Cherry Hill,New Jersey,United States,Fall 2022,Public Affairs/Community Development (MS),Started App,Did Not A/C
Phoenix,Arizona,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Topeka,Kansas,United States,Fall 2022,English (MA),Admit-Withdrawn,Did Not A/C
Ledgewood,N.J.,United States of America,Spring 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Williamstown,New Jersey,United States of America,Summer 2023,English (NOD),Withdrawn,Did Not A/C
Rancho Cordova,California,United States,Fall 2022,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Westville,New Jersey,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Wilmette,Illinois,United States,Fall 2022,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Webster Groves,Missouri,United States,Summer 2022,Teacher Education (MAT),Admit-Coming,A/C
El Paso,Texas,United States of America,Fall 2023,English (MA),Admit-Withdrawn,Did Not A/C
Sicklerville,New Jersey,United States of America,Summer 2023,Teacher Education (MAT),Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Fall 2024,Data Science (MS),Started App,Did Not A/C
APO,AE,United States,Fall 2022,"History (American, Global, Public) (MA)",Started App,Did Not A/C
Pitman,New Jersey,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
New York,New York,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
New Brunswick,New Jersey,United States,Spring 2022,Liberal Studies - Online (MA),Started App,Did Not A/C
Camden,New Jersey,United States,Spring 2022,Childhood Studies (MA),Admit-Coming,A/C
Riverside,New Jersey,United States of America,Spring 2023,Teacher Education (MAT),Started App,Did Not A/C
Merrick,New York,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Burlington,New Jersey,United States,Fall 2022,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Marlton,New Jersey,United States of America,Fall 2022,Public Affairs/Community Development (PHD),Denied,Did Not A/C
Nazareth,Pennsylvania,United States,Fall 2022,English (MA),Admit-Withdrawn,Did Not A/C
Larksville,Pennsylvania,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Staten Island,New York,United States,Spring 2024,Liberal Studies - Online (MA),Started App,Did Not A/C
Edison,New Jersey,United States,Spring 2022,Forensic Science (MS),Denied,Did Not A/C
Phillipsburg,New Jersey,United States,Fall 2022,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
Cherry Hill,New Jersey,United States,Fall 2022,Biology (MS),Admit-Coming,A/C
Williamstown,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Atlanta,Georgia,United States,Fall 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Shamong,New Jersey,United States,Spring 2022,Teacher Education (MAT),Admit-Coming,A/C
Somerset,New Jersey,United States,Spring 2022,Forensic Science (MS),Denied,Did Not A/C
Morgantown,West Virginia,United States,Fall 2022,Public Administration - On Campus (MPA),Started App,Did Not A/C
Rye,NY,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Hamilton,New Jersey,United States,Fall 2023,Liberal Studies - Online (MA),Started App,Did Not A/C
GREEN BROOK,New Jersey,United States,Spring 2022,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Chicago,Illinois,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Westampton,New Jersey,United States,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Started App,Did Not A/C
Mickleton,New Jersey,United States,Spring 2022,Teacher Education (MAT),Admit-Coming,A/C
Warren,Maine,United States,Fall 2022,Liberal Studies - Online (MA),Started App,Did Not A/C
Cherry Hill,New Jersey,United States,Spring 2022,Teacher Education (MAT),Started App,Did Not A/C
Califon,New Jersey,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Burlington,New Jersey,United States,Spring 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Newark,New Jersey,United States,Spring 2022,Computer Science: Scientific Computing (NOD),Withdrawn,Did Not A/C
Brooklyn,NY,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Tacoma,Washington,United States of America,Fall 2022,Biology (MS),Admit-Coming,A/C
Mays Landing,New Jersey,United States,Fall 2024,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Burlington,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Pittsburgh,Pennsylvania,United States,Spring 2022,Liberal Studies - Online (MA),Deferred to Summer,Did Not A/C
Manahawkin,New Jersey,United States,Spring 2022,Forensic Science (MS),Admit-Coming,A/C
Toms River,New Jersey,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Glendora,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
Paterson,New jersey,United States,Spring 2022,Teacher Education (MAT),Started App,Did Not A/C
Turnersville,New Jersey,United States,Fall 2022,Childhood Studies (PHD),Started App,Did Not A/C
Riverside,New Jersey,United States,Fall 2022,Creative Writing (MFA) Camden,Denied,Did Not A/C
Collingswood,New Jersey,United States,Spring 2022,Teacher Education - Spanish (MAT),Started App,Did Not A/C
Marlton,New Jersey,United States,Spring 2022,Teacher Education (MAT),Admit-Coming,A/C
Philadelphia,PA,United States,Fall 2022,Childhood Studies (PHD),Admit-Coming,A/C
Haddonfield,New Jersey,United States,Fall 2022,Teacher Education (MAT),Started App,Did Not A/C
Bothell,Washington,United States,Spring 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Woodbury Heights,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Lindenwold,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
